id,ime_beli,ime_crni,rating_beli,rating_crni,rezultat,rating_spr,poteze,st_potez,leto,underdog,pravi_underdog
16156487,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0,-5.4877433585974185,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,48,2021,1,0
16162621,Ding Liren,Levon Aronian,2788,2740,0,-5.686413918836677,1. d4 Nf6 2. c4 c5 3. d5 g6,29,2021,1,0
16162705,Ding Liren,Levon Aronian,2788,2740,0,-5.686413918836677,1. d4 Nf6 2. c4 c5 3. d5 g6,38,2021,1,0
16162717,Ding Liren,Levon Aronian,2788,2740,0,-5.686413918836677,1. d4 Nf6 2. Nf3 g6 3. g3 Bg7,44,2021,1,0
16162757,Ding Liren,Levon Aronian,2788,2740,0,-5.686413918836677,1. e4 c5 2. Nf3 d6 3. d4 cxd4,33,2021,1,0
15792427,Ding Liren,Matthias Bluebaum,2791,2670,0.5,-1.6741842187322298,1. c4 e6 2. Nc3 d5 3. d4 Nf6,77,2021,1,1
15792651,Ding Liren,Wesley So,2791,2770,0.5,-0.30184680003902065,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5,26,2021,1,0
16030907,Ding Liren,Maxime Vachier-Lagrave,2791,2758,0.5,-0.47348518045864707,1. d4 Nf6 2. c4 g6 3. h4 Bg7,88,2021,1,0
16045118,Ding Liren,Shakhriyar Mamedyarov,2836,2761,0.5,-1.0628782378542811,1. d4 Nf6 2. c4 e6 3. g3 d5,63,2021,1,0
16045312,Ding Liren,Fabiano Caruana,2836,2773,0.5,-0.896835031399501,1. Nf3 d5 2. g3 c5 3. Bg2 Nc6,62,2021,1,0
16045720,Ding Liren,Magnus Carlsen,2799,2847,0.5,0.6864139188366764,1. d4 d5 2. c4 e6 3. Nc3 a6,55,2021,1,0
16045734,Ding Liren,Alireza Firouzja,2799,2759,0.5,-0.5731163376229276,1. d4 f5 2. g3 Nf6 3. Bg2 e6,38,2021,1,0
16066550,Ding Liren,Levon Aronian,2836,2778,0.5,-0.8270188496423014,1. d4 Nf6 2. c4 e6 3. g3 d5,64,2021,1,0
16066592,Ding Liren,Gukesh D,2836,1927,0.5,-4.946888660255334,1. c4 e6 2. Nc3 d5 3. d4 Be7,57,2021,1,1
16066808,Ding Liren,Santosh Gujrathi Vidit,2836,2636,0.5,-2.597469266479578,1. c4 c5 2. Nf3 Nc6 3. e3 e6,45,2021,1,1
16066872,Ding Liren,Hou Yifan,2836,2621,0.5,-2.7515286564968413,1. c4 e6 2. Nc3 c5 3. Nf3 Nf6,52,2021,1,1
16067234,Ding Liren,Magnus Carlsen,2836,2881,0.5,0.6440049024042122,1. d4 Nf6 2. c4 e6 3. g3 d5,15,2021,1,0
16068098,Ding Liren,Jan-Krzysztof Duda,2836,2774,0.5,-0.8828997186316279,1. d4 d5 2. c4 c6 3. Nf3 Nf6,44,2021,1,0
16068112,Ding Liren,Jan-Krzysztof Duda,2836,2774,0.5,-0.8828997186316279,1. d4 d5 2. c4 c6 3. Nf3 Nf6,87,2021,1,0
16068972,Ding Liren,Magnus Carlsen,2836,2881,0.5,0.6440049024042122,1. d4 Nf6 2. c4 e6 3. g3 d5,62,2021,1,0
16069330,Ding Liren,Vladislav Artemiev,2836,2757,0.5,-1.1177050078106432,1. d4 Nf6 2. c4 g6 3. f3 Nc6,85,2021,1,0
16069434,Ding Liren,Vladislav Artemiev,2788,2783,0.5,-0.07195081709051365,1. d4 d5 2. c4 e6 3. Nf3 c5,48,2021,1,0
